Download Winning Numbers from www.calottery.com on 7/4/2018 5:18:47 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

1270     Tue. Aug 22, 2017          24          35          46          50          51          7     
1269     Fri. Aug 18, 2017          1          31          34          40          75          6     
1268     Tue. Aug 15, 2017          7          16          20          66          73          7     
1267     Fri. Aug 11, 2017          23          33          53          56          58          6     
1266     Tue. Aug 08, 2017          11          17          50          52          74          14     
1265     Fri. Aug 04, 2017          9          17          25          63          71          4     
1264     Tue. Aug 01, 2017          20          22          52          57          73          7     
1263     Fri. Jul 28, 2017          4          6          31          49          52          11     
1262     Tue. Jul 25, 2017          2          5          26          58          60          6     
1261     Fri. Jul 21, 2017          18          31          36          50          74          10     
1260     Tue. Jul 18, 2017          8          12          23          51          73          6     
1259     Fri. Jul 14, 2017          11          12          24          32          73          1     
1258     Tue. Jul 11, 2017          7          18          24          55          74          10     
1257     Fri. Jul 07, 2017          2          9          11          28          60          10     
1256     Tue. Jul 04, 2017          16          39          47          53          71          15     
1255     Fri. Jun 30, 2017          10          38          51          55          64          6     
1254     Tue. Jun 27, 2017          4          21          45          52          57          14     
1253     Fri. Jun 23, 2017          12          20          53          66          74          11     
1252     Tue. Jun 20, 2017          2          15          41          49          63          3     
1251     Fri. Jun 16, 2017          18          22          26          30          44          9     
1250     Tue. Jun 13, 2017          27          51          62          68          75          8     
1249     Fri. Jun 09, 2017          3          16          28          33          37          9     
1248     Tue. Jun 06, 2017          3          5          16          49          75          5     
1247     Fri. Jun 02, 2017          7          42          57          69          72          10     
1246     Tue. May 30, 2017          5          20          32          37          67          5     
1245     Fri. May 26, 2017          25          26          28          37          56          5     
1244     Tue. May 23, 2017          6          13          17          33          60          14     
1243     Fri. May 19, 2017          1          4          5          24          30          1     
1242     Tue. May 16, 2017          4          35          39          56          72          11     
1241     Fri. May 12, 2017          28          34          41          42          47          13     
1240     Tue. May 09, 2017          6          29          45          69          73          11     
1239     Fri. May 05, 2017          4          23          33          47          53          7     
1238     Tue. May 02, 2017          5          14          42          43          58          1     
1237     Fri. Apr 28, 2017          6          13          18          20          31          13     
1236     Tue. Apr 25, 2017          3          13          33          40          50          2     
1235     Fri. Apr 21, 2017          1          12          13          32          34          10     
1234     Tue. Apr 18, 2017          8          29          30          43          64          6     
1233     Fri. Apr 14, 2017          5          10          55          60          73          12     
1232     Tue. Apr 11, 2017          19          34          35          38          49          8     
1231     Fri. Apr 07, 2017          30          33          43          47          69          15     
1230     Tue. Apr 04, 2017          13          24          34          35          55          9     
1229     Fri. Mar 31, 2017          17          24          27          32          58          10     
1228     Tue. Mar 28, 2017          30          33          35          37          46          10     
1227     Fri. Mar 24, 2017          5          28          37          61          69          1     
1226     Tue. Mar 21, 2017          4          45          53          73          75          7     
1225     Fri. Mar 17, 2017          11          27          31          58          60          10     
1224     Tue. Mar 14, 2017          16          23          28          33          59          13     
1223     Fri. Mar 10, 2017          26          38          42          58          70          5     
1222     Tue. Mar 07, 2017          3          30          45          53          68          11     
1221     Fri. Mar 03, 2017          14          26          39          48          51          9     
1220     Tue. Feb 28, 2017          20          33          45          58          69          4     
1219     Fri. Feb 24, 2017          12          29          33          42          68          14     
1218     Tue. Feb 21, 2017          9          21          30          32          75          9     
1217     Fri. Feb 17, 2017          4          56          58          67          75          8     
1216     Tue. Feb 14, 2017          7          11          33          60          68          15     
1215     Fri. Feb 10, 2017          32          39          51          62          75          14     
1214     Tue. Feb 07, 2017          23          28          37          56          71          12     
1213     Fri. Feb 03, 2017          3          6          29          30          64          3     
1212     Tue. Jan 31, 2017          3          14          27          62          72          4     
1211     Fri. Jan 27, 2017          17          37          53          54          61          8     
1210     Tue. Jan 24, 2017          8          42          54          63          67          11     
1209     Fri. Jan 20, 2017          7          9          24          41          53          14     
1208     Tue. Jan 17, 2017          20          31          54          56          59          3     
1207     Fri. Jan 13, 2017          10          44          58          74          75          11     
1206     Tue. Jan 10, 2017          11          20          40          41          59          15     
1205     Fri. Jan 06, 2017          6          10          44          47          54          6     
1204     Tue. Jan 03, 2017          14          16          23          49          53          12     
1203     Fri. Dec 30, 2016          6          21          33          39          43          2     
1202     Tue. Dec 27, 2016          2          28          30          38          39          11     
1201     Fri. Dec 23, 2016          21          30          39          60          69          15     
1200     Tue. Dec 20, 2016          1          12          14          48          65          2     
1199     Fri. Dec 16, 2016          1          8          15          36          43          6     
1198     Tue. Dec 13, 2016          2          15          26          34          41          14     
1197     Fri. Dec 09, 2016          19          27          47          67          68          1     
1196     Tue. Dec 06, 2016          13          34          48          53          63          12     
1195     Fri. Dec 02, 2016          3          33          35          49          51          1     
1194     Tue. Nov 29, 2016          22          33          49          51          59          8     
1193     Fri. Nov 25, 2016          44          47          49          69          75          10     
1192     Tue. Nov 22, 2016          1          43          45          66          69          7     
1191     Fri. Nov 18, 2016          31          32          49          55          58          15     
1190     Tue. Nov 15, 2016          9          17          23          57          71          6     
1189     Fri. Nov 11, 2016          16          40          47          53          59          11     
1188     Tue. Nov 08, 2016          46          48          53          61          74          12     
1187     Fri. Nov 04, 2016          10          29          32          44          46          10     
1186     Tue. Nov 01, 2016          19          24          31          39          45          13     
1185     Fri. Oct 28, 2016          7          38          46          57          66          2     
1184     Tue. Oct 25, 2016          8          9          24          49          67          13     
1183     Fri. Oct 21, 2016          12          43          44          48          66          3     
1182     Tue. Oct 18, 2016          7          24          28          65          74          1     
1181     Fri. Oct 14, 2016          7          27          60          64          74          5     
1180     Tue. Oct 11, 2016          36          39          42          45          48          3     
1179     Fri. Oct 07, 2016          24          37          42          50          65          14     
1178     Tue. Oct 04, 2016          18          29          30          54          66          1     
1177     Fri. Sep 30, 2016          21          30          47          50          57          9     
1176     Tue. Sep 27, 2016          14          16          26          53          72          4     
1175     Fri. Sep 23, 2016          1          5          8          25          62          14     
1174     Tue. Sep 20, 2016          2          22          34          62          72          2     
1173     Fri. Sep 16, 2016          13          21          28          34          40          15     
1172     Tue. Sep 13, 2016          6          15          17          39          56          15     
1171     Fri. Sep 09, 2016          1          34          43          44          63          11     
1170     Tue. Sep 06, 2016          25          37          58          69          75          8     
1169     Fri. Sep 02, 2016          22          28          41          46          60          3     
1168     Tue. Aug 30, 2016          28          32          41          51          71          11     
1167     Fri. Aug 26, 2016          10          11          31          41          44          14     
1166     Tue. Aug 23, 2016          2          7          46          61          66          1     
1165     Fri. Aug 19, 2016          22          37          45          65          73          13     
1164     Tue. Aug 16, 2016          2          43          52          62          63          6     
1163     Fri. Aug 12, 2016          4          41          44          56          69          10     
1162     Tue. Aug 09, 2016          12          19          20          44          66          1     
1161     Fri. Aug 05, 2016          5          18          28          54          74          6     
1160     Tue. Aug 02, 2016          3          12          36          54          70          12     
1159     Fri. Jul 29, 2016          11          16          19          31          48          4     
1158     Tue. Jul 26, 2016          1          4          31          36          54          9     
1157     Fri. Jul 22, 2016          8          24          25          26          30          7     
1156     Tue. Jul 19, 2016          3          34          54          65          66          4     
1155     Fri. Jul 15, 2016          16          51          52          56          58          4     
1154     Tue. Jul 12, 2016          6          8          22          46          68          4     
1153     Fri. Jul 08, 2016          8          19          20          55          73          5     
1152     Tue. Jul 05, 2016          29          46          53          64          73          10     
1151     Fri. Jul 01, 2016          20          41          42          45          49          14     
1150     Tue. Jun 28, 2016          15          17          20          35          55          7     
1149     Fri. Jun 24, 2016          11          14          54          57          63          11     
1148     Tue. Jun 21, 2016          6          13          21          49          50          10     
1147     Fri. Jun 17, 2016          20          23          30          44          59          9     
1146     Tue. Jun 14, 2016          36          37          38          52          62          6     
1145     Fri. Jun 10, 2016          34          61          66          67          68          7     
1144     Tue. Jun 07, 2016          25          48          51          65          72          4     
1143     Fri. Jun 03, 2016          32          54          65          66          71          10     
1142     Tue. May 31, 2016          9          31          34          41          49          8     
1141     Fri. May 27, 2016          18          41          50          68          70          9     
1140     Tue. May 24, 2016          11          50          51          70          75          15     
1139     Fri. May 20, 2016          19          24          26          40          68          8     
1138     Tue. May 17, 2016          17          24          27          48          75          6     
